news_name,official_name,entity_relation,edinet_code,ticker
みずほ銀行,みずほフィナンシャルグループ,parent,E03615,8411
三菱UFJ銀行,三菱UFJフィナンシャル・グループ,parent,E03606,8306
三井住友銀行,三井住友フィナンシャルグループ,parent,E03614,8316
りそな銀行,りそなホールディングス,parent,E03610,8308
三井住友信託銀行,三井住友トラストグループ,parent,E03611,8309
ゆうちょ銀行,ゆうちょ銀行,self,E31775,7182
セブン銀行,セブン銀行,self,E03623,8410
あおぞら銀行,あおぞら銀行,self,E03531,8304
東京海上日動火災保険,東京海上ホールディングス,parent,E03847,8766
損害保険ジャパン,SOMPOホールディングス,parent,E23924,8630
三井住友海上火災保険,MS&ADインシュアランスグループホールディングス,parent,E03854,8725
あいおいニッセイ同和損害保険,MS&ADインシュアランスグループホールディングス,parent,E03854,8725
第一生命,第一ライフグループ,parent,E06141,8750
第一生命ホールディングス,第一ライフグループ,self,E06141,8750
第一ライフグループ,第一ライフグループ,self,E06141,8750
かんぽ生命,かんぽ生命保険,self,E31755,7181
東京電力,東京電力ホールディングス,parent,E04498,9501
関西電力,関西電力,self,E04499,9503
中部電力,中部電力,self,E04502,9502
九州電力,九州電力,self,E04506,9508
東北電力,東北電力,self,E04501,9506
東京ガス,東京瓦斯,self,E04514,9531
大阪ガス,大阪瓦斯,self,E04520,9532
JR東日本,東日本旅客鉄道,self,E04147,9020
JR西日本,西日本旅客鉄道,self,E04148,9021
JR東海,東海旅客鉄道,self,E04149,9022
JR九州,九州旅客鉄道,self,E32679,9142
東京メトロ,東京地下鉄,self,E04153,9023
近鉄,近鉄グループホールディングス,parent,E04102,9041
阪急阪神,阪急阪神ホールディングス,self,E04103,9042
ヤマト運輸,ヤマトホールディングス,parent,E04187,9064
佐川急便,SGホールディングス,parent,E32292,9143
日本通運,NIPPON EXPRESSホールディングス,parent,E36706,9147
西濃運輸,セイノーホールディングス,parent,E04198,9076
日本郵便,日本郵政,parent,E31748,6178
NTT,ＮＴＴ,self,E04430,9432
日本電信電話,ＮＴＴ,self,E04430,9432
NTTドコモ,ＮＴＴ,parent,E04430,9432
NTT東日本,ＮＴＴ,parent,E04430,9432
KDDI,KDDI,self,E04425,9433
ソフトバンク,ソフトバンク,self,E04426,9434
ソフトバンクグループ,ソフトバンクグループ,self,E02778,9984
楽天モバイル,楽天グループ,parent,E05080,4755
