domain,usage,publisher_type,independent_check,attribution_template
disclosure2.edinet-fsa.go.jp,quotable,company_disclosure,no,出典：EDINET閲覧（提出）サイト（{url}）、PDL1.0（https://www.digital.go.jp/resources/open_data/public_data_license_v1.0）
disclosure2dl.edinet-fsa.go.jp,quotable,company_disclosure,no,出典：EDINET閲覧（提出）サイト（{url}）、PDL1.0（https://www.digital.go.jp/resources/open_data/public_data_license_v1.0）
api.edinet-fsa.go.jp,quotable,company_disclosure,no,出典：EDINET閲覧（提出）サイト（{url}）、PDL1.0（https://www.digital.go.jp/resources/open_data/public_data_license_v1.0）
www.boj.or.jp,quotable,central_bank,yes,出典：{publisher}「{title}」（{url}）
www.mof.go.jp,quotable,government_statistics,yes,出典：{publisher}「{title}」（{url}）
www.customs.go.jp,quotable,government_statistics,yes,出典：{publisher}「{title}」（{url}）
www.e-stat.go.jp,quotable,government_statistics,yes,出典：{publisher}「{title}」（{url}）
www.federalreserve.gov,quotable,central_bank,yes,出典：{publisher}「{title}」（{url}）
www.jpx.co.jp,link_only,other,no,出典：{publisher}「{title}」（{url}）
www.release.tdnet.info,link_only,other,no,出典：{publisher}「{title}」（{url}）
www.nippon.com,snippet_only,news,no,出典：{publisher}「{title}」（{url}）
www.oanda.jp,snippet_only,news,no,出典：{publisher}「{title}」（{url}）
